location,latitude,longitude,observation_time,temperature,weather_descriptions,wind_speed,wind_dir,pressure,humidity,feels_like,uv_index,visibility,is_day,precipitation,cloudcover,timestamp
"New York, United States of America",40.714,-74.006,05:31 AM,10,Overcast,13,NNW,1016,32,9,0,16,no,0,100,2025-03-26 11:03:51
"London, United Kingdom",51.517,-0.106,05:33 AM,7,Partly cloudy,4,ENE,1025,93,7,0,10,no,0,50,2025-03-26 11:03:55
"Tokyo, Japan",35.690,139.692,05:38 AM,25,Sunny,17,NNW,1002,22,25,4,8,yes,0,0,2025-03-26 11:04:02
"Sydney, Australia",-33.883,151.217,05:34 AM,26,Partly cloudy,17,ENE,1020,58,28,3,10,yes,0,50,2025-03-26 11:04:06
"Paris, France",48.867,2.333,05:32 AM,9,Mist,6,NNW,1023,100,9,0,4,no,0,75,2025-03-26 11:04:09
"Berlin, Germany",52.517,13.400,05:34 AM,6,Mist,12,W,1017,93,4,0,3,yes,0.4,75,2025-03-26 11:04:14
"Moscow, Russia",55.752,37.616,05:34 AM,1,Mist,4,WSW,1012,100,1,0,2,yes,0.1,100,2025-03-26 11:04:17
"Beijing, China",39.929,116.388,05:34 AM,14,Sunny,7,NNE,998,28,14,3,10,yes,0,0,2025-03-26 11:04:20
"Rio De Janeiro, Brazil",-22.900,-43.233,05:34 AM,25,Partly cloudy,4,NNW,1013,89,28,0,10,no,0,75,2025-03-26 11:04:26
"Cairo, Egypt",30.050,31.250,05:33 AM,19,Sunny,13,NE,1016,48,19,0,10,yes,0,0,2025-03-26 11:04:36
"Mumbai, India",18.975,72.826,05:30 AM,29,Haze,13,NW,1010,66,32,6,3,yes,0,25,2025-03-26 11:04:41
"Dubai, United Arab Emirates",25.252,55.280,05:32 AM,20,Partly cloudy,9,S,1014,60,20,3,10,yes,0,25,2025-03-26 11:04:45
"Singapore, Singapore",1.293,103.856,05:30 AM,31,Partly cloudy,4,NW,1007,66,38,13,10,yes,0,75,2025-03-26 11:04:48
"Toronto, Canada",43.667,-79.417,05:34 AM,1,Partly cloudy,12,WNW,1016,64,-3,0,14,no,0,75,2025-03-26 11:04:51
"Mexico City, Mexico",19.429,-99.128,05:33 AM,15,Overcast,7,N,1029,82,15,0,10,no,0,100,2025-03-26 11:04:55
"Istanbul, Turkey",41.019,28.965,05:30 AM,12,Partly cloudy,5,SW,1017,88,12,0,10,yes,0,75,2025-03-26 11:04:58
"Rome, Italy",41.900,12.483,05:34 AM,8,Sunny,8,NNE,1012,87,7,0,10,yes,0,0,2025-03-26 11:05:02
"Amsterdam, Netherlands",52.374,4.890,05:30 AM,7,Partly cloudy,8,NNW,1024,93,6,0,10,yes,0,75,2025-03-26 11:05:06
"Madrid, Spain",40.400,-3.683,05:35 AM,3,Clear,5,ENE,1022,93,2,0,10,no,0,0,2025-03-26 11:05:09
"Barcelona, Spain",41.383,2.183,05:35 AM,11,Partly cloudy,8,N,1017,76,10,0,10,no,0,25,2025-03-26 11:05:13
"Seoul, South Korea",37.566,127.000,05:35 AM,22,Sunny,9,SSE,1003,19,22,5,10,yes,0,0,2025-03-26 11:05:16
"Bangkok, Thailand",13.750,100.517,05:39 AM,34,Partly cloudy,19,S,1007,56,39,11,9,yes,0,50,2025-03-26 11:05:21
"Kuala Lumpur, Malaysia",3.167,101.700,05:35 AM,33,Partly cloudy,8,W,1007,59,40,14,10,yes,0.1,25,2025-03-26 11:05:26
